soft;med;full;round;smooth;light;firm;oily
1;1;0;0;0;0;0;0
1;1;1;1;1;0;0;0
0;1;1;0;0;1;1;0
0;0;1;0;0;0;0;0
1;0;0;0;0;0;0;0
0;0;0;0;0;0;1;0
0;0;0;0;0;1;0;0
1;1;0;0;1;1;0;0
0;1;0;0;0;0;0;0
0;1;0;0;0;0;0;0
0;0;0;0;0;0;1;1
0;1;0;0;0;1;0;0
0;1;0;1;1;0;1;0
0;1;0;0;0;0;0;0
0;0;0;0;0;1;1;0
0;1;0;0;0;1;0;0
0;1;0;0;0;1;0;0
0;1;1;0;0;0;0;0
0;0;0;0;1;1;1;0
0;1;0;0;0;1;1;0
0;0;0;0;0;1;1;1
0;1;0;0;0;1;0;0
0;0;0;0;1;1;0;0
0;0;1;0;0;0;0;1
0;0;0;0;0;1;0;1
0;1;1;0;0;0;0;0
0;1;0;0;1;1;1;0
0;1;0;0;0;0;0;0
0;1;1;0;0;0;0;0
0;0;1;0;0;0;0;0
1;1;1;0;0;0;0;0
0;0;0;0;0;0;1;1
0;0;0;0;1;1;0;0
0;1;0;1;0;1;1;1
0;0;0;0;0;1;0;0
0;0;0;0;1;1;0;0
0;1;0;1;0;1;0;0
0;0;0;0;0;1;1;0
0;0;0;0;1;1;0;1
0;0;1;0;0;0;0;0
0;1;0;0;1;1;0;0
0;1;1;0;1;0;0;1
0;1;1;0;1;0;1;0
1;1;0;0;0;1;0;0
1;1;0;0;1;1;0;0
0;0;0;0;0;0;1;0
0;0;0;0;1;1;1;0
0;1;0;0;0;0;1;0
0;0;0;0;1;1;1;0
0;1;0;1;1;1;0;0
0;1;0;0;0;1;0;0
0;1;1;0;0;0;0;0
0;1;0;0;0;1;0;1
0;1;0;0;1;1;1;0
0;1;0;0;0;1;1;1
0;1;0;1;1;1;0;0
1;0;0;0;0;1;0;0
0;1;0;0;0;1;0;1
0;0;0;0;1;1;1;0
0;1;1;0;1;0;0;0
0;1;1;0;1;0;0;0
0;1;0;1;1;1;0;0
0;1;0;0;0;1;0;0
0;0;0;0;1;1;0;0
1;0;0;0;0;0;1;0
1;1;0;0;1;0;0;1
0;1;0;0;0;1;1;0
0;1;0;0;1;0;0;0
1;1;1;0;0;0;0;0
0;1;0;0;1;0;0;0
0;0;0;1;0;1;0;1
0;0;1;1;0;1;0;0
1;0;0;0;0;1;0;0
1;0;0;0;0;1;0;0
0;0;0;0;1;1;0;0
1;1;0;0;0;0;0;1
1;0;0;0;0;1;0;0
0;0;1;1;0;0;0;1
0;1;0;0;0;0;0;1
0;1;0;1;0;0;0;0
1;1;0;0;0;1;0;0
0;1;1;0;1;0;0;0
1;1;0;0;1;0;0;0
0;0;0;0;1;0;1;0
0;0;1;0;0;0;0;0
0;0;1;0;1;0;0;0
0;1;0;0;1;0;1;0
0;1;1;0;0;0;0;0
0;1;0;0;0;1;0;0
0;1;1;0;1;0;1;0
0;1;0;0;1;0;0;0
0;0;0;0;0;1;1;0
0;0;0;0;1;1;0;0
0;1;0;0;1;1;0;0
0;1;0;0;0;0;0;0
0;1;0;0;1;0;0;0
0;0;0;0;1;0;0;0
0;1;0;1;1;1;0;0
0;1;0;0;0;0;0;1
0;1;0;0;0;0;1;0
0;0;1;0;0;0;0;1
0;1;0;1;0;1;0;0
0;0;0;0;1;1;0;0
1;1;0;0;0;0;0;0
1;1;0;0;0;0;0;0
1;1;0;0;1;0;0;0
1;0;0;0;1;1;0;0
0;1;1;0;1;0;0;0
0;1;0;0;1;0;1;0
