wyne;yellow;v.pale;pale;p.gold;gold;o.gold;f.gold;bronze;p.amber;amber;f.amber;red;sherry
0;1;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;1;0
0;0;0;0;0;0;0;0;0;0;0;0;0;1
0;0;0;0;1;0;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;1;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0
0;1;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0
0;0;0;1;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;1;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0
0;0;0;0;1;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;1;0;0
0;0;0;0;0;0;0;0;0;0;0;1;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;1;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;1;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0
0;0;1;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;1;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;0;0;0;1;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;0;0;0;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;1;0;0;0;0;0
0;0;0;0;1;0;0;0;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;1;0
0;0;0;0;1;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;1;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0
0;0;0;0;0;0;0;0;0;0;0;1;0;0
0;0;0;0;0;0;0;0;1;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;1;0
0;0;0;0;0;0;0;0;0;1;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0
