Distillery;Lon;Lat;Region;District;Age;Score;Abv
Aberfeldy;3.875;56.62;HIGH;MIDLAND;NA;69;40
Aberlour;3.22;57.46;HIGH;SPEY;12;83;43
Ardberg;6.08;55.64;ISLAY;SOUTH;10;85;40
Ardmore;2.67;57.32;HIGH;SPEY;18;66;46
Auchentoshan;4.39;55.91;LOW;WEST;10;85;40
Aultmore;3.01;57.60;HIGH;SPEY;12;75;40
Balblair;4.17;57.83;HIGH;NORTH;10;76;40
Balmenach;3.13;57.42;HIGH;SPEY;NA;69;40
Balvenie;3.10;57.45;HIGH;SPEY;NA;85;40
Banff;2.51;57.65;HIGH;SPEY;NA;66;40
Ben Nevis;5.08;56.79;HIGH;WEST;NA;55;40
Benriach;3.24;57.59;HIGH;SPEY;NA;69;40
Benrinnes;3.24;57.43;HIGH;SPEY;NA;78;40
Benromach;3.60;57.60;HIGH;SPEY;NA;75;40
Bladnoch;4.44;54.86;LOW ;BORDERS;8;85;40
Blair Athol;3.74;56.72;HIGH;MIDLAND;8;75;40
Bowmore;6.28;55.75;ISLAY;LOCH;10;81;40
Brackla;3.93;57.52;HIGH;SPEY;NA;77;40
Bruichladdich;6.36;55.77;ISLAY;LOCH;10;76;40
Bunnahabhain;6.14;55.89;ISLAY;NORTH;12;77;40
Caol Ila;6.12;55.85;ISLAY;NORTH;12;77;40
Caperdonich;3.19;57.53;HIGH;SPEY;NA;73;40
Cardhu;3.33;57.46;HIGH;SPEY;12;72;40
Clynelish;3.87;58.00;HIGH;NORTH;12;81;40
Coleburn;3.21;57.55;HIGH;SPEY;NA;67;40
Convalmore;3.12;57.46;HIGH;SPEY;NA;68;40
Cragganmore;3.38;57.40;HIGH;SPEY;12;90;40
Craigellachie;3.19;57.48;HIGH;SPEY;NA;72;40
Dailuaine;3.26;57.45;HIGH;SPEY;NA;74;40
Dallas Dhu;3.47;57.55;HIGH;SPEY;NA;85;40
Dalmore;4.17;57.70;HIGH;NORTH;12;79;40
Dalwhinnie;4.23;56.93;HIGH;SPEY;15;76;43
Deanston;4.04;56.28;HIGH;MIDLAND;NA;69;40
